"","acceptedNameUsage","acceptedScientificName","acceptedTaxonKey","adm1","adm2","associatedSequences","basisOfRecord","bibliographicCitation","catalogNumber","class","classKey","cloc","collectionCode","collectionID","collectionKey","continent","coordinateUncertaintyInMeters","country","crawlId","datasetID","datasetKey","datasetName","dateIdentified","day","disposition","dynamicProperties","elevation","elevationAccuracy","eventDate","eventID","eventRemarks","family","familyKey","fieldNotes","fieldNumber","footprintSRS","fullCountry","gbifID","genericName","genus","genusKey","geodeticDatum","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","habitat","higherClassification","higherGeography","hostingOrganizationKey","http://unknown.org/language","http://unknown.org/rights","http://unknown.org/rightsHolder","identificationID","identificationRemarks","identifiedBy","identifier","individualCount","infraspecificEpithet","installationKey","institutionCode","institutionID","institutionKey","isInCluster","ISO2","iucnRedListCategory","key","kingdom","kingdomKey","language","lastCrawled","lastInterpreted","lastParsed","lat","license","locality","locationAccordingTo","locationRemarks","lon","materialSampleID","modified","month","municipality","namePublishedIn","namePublishedInYear","nomenclaturalCode","nomenclaturalStatus","occurrenceID","occurrenceRemarks","occurrenceStatus","order","orderKey","organismQuantityType","otherCatalogNumbers","ownerInstitutionCode","phylum","phylumKey","preparations","programmeAcronym","projectId","protocol","publishingCountry","publishingOrgKey","recordedBy","recordNumber","references","rightsHolder","samplingProtocol","scientificName","species","speciesKey","specificEpithet","taxonConceptID","taxonID","taxonKey","taxonomicStatus","taxonRank","taxonRemarks","type","typeStatus","typifiedName","verbatimCoordinateSystem","verbatimElevation","verbatimEventDate","verbatimIdentification","verbatimLocality","year","downloadDate"
"53",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"NBG0190007-0","Magnoliopsida",220,"South Africa",NA,NA,NA,NA,NA,"South Africa",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,NA,NA,NA,NA,NA,"1974-04-01T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"South Africa","3708592987","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142912",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"ZA","NE",3708592987,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:06.899+00:00","2022-09-09T03:13:06.899+00:00",-26.375,"http://creativecommons.org/licenses/by/4.0/legalcode",NA,NA,NA,28.875,NA,NA,4,NA,NA,NA,NA,NA,"453142912",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Visser, J","26",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,2022-10-23
"54",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"NBG0190005-0","Magnoliopsida",220,"Thabazimbi.  Farm Kwarrieshoek on Warmbad - Rooiberg road., South Africa",NA,NA,NA,NA,NA,"South Africa",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,NA,NA,NA,NA,NA,"1974-04-01T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"South Africa","3708603976","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142915",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"ZA","NE",3708603976,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:29.599+00:00","2022-09-09T03:13:29.599+00:00",-24.875,"http://creativecommons.org/licenses/by/4.0/legalcode","Thabazimbi.  Farm Kwarrieshoek on Warmbad - Rooiberg road.",NA,NA,27.875,NA,NA,4,NA,NA,NA,NA,NA,"453142915",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Visser, J","65",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,2022-10-23
"55",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"PRE0358623-0","Magnoliopsida",220,"MAGOEBASKLOOF; FRANSCHHOEK; GEDEELTE 16, South Africa",NA,NA,NA,NA,NA,"South Africa",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,5,NA,NA,NA,NA,"1974-05-05T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"South Africa","3707996975","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142898",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"ZA","NE",3707996975,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:29.187+00:00","2022-09-09T03:13:29.187+00:00",-23.875,"http://creativecommons.org/licenses/by/4.0/legalcode","MAGOEBASKLOOF; FRANSCHHOEK; GEDEELTE 16",NA,NA,30.125,NA,NA,5,NA,NA,NA,NA,NA,"453142898",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Hanekom, WJ","2288",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1974,2022-10-23
"57",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"PRE0468726-0","Magnoliopsida",220,"GABORONE DIST.; CONTENT FARM; 800 M. S. OF S.M.U., Botswana",NA,NA,NA,NA,NA,"Botswana",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,20,NA,NA,NA,NA,"1972-04-20T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Botswana","3707999973","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142900",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"BW","NE",3707999973,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:07.146+00:00","2022-09-09T03:13:07.146+00:00",-24.75,"http://creativecommons.org/licenses/by/4.0/legalcode","GABORONE DIST.; CONTENT FARM; 800 M. S. OF S.M.U.",NA,NA,24.75,NA,NA,4,NA,NA,NA,NA,NA,"453142900",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Kelaole, ET","A40",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1972,2022-10-23
"59",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"BR0000019033143","Magnoliopsida",220,"Mogofé, Gomtemale Mt, Cameroon","BR",NA,"6416a67f-3c3e-495c-8998-568f64249178",NA,NA,"Cameroon",203,NA,"b740eaa0-0679-41dc-acb7-990d562dfa37","Meise Botanic Garden Herbarium",NA,9,NA,NA,NA,NA,"1972-10-09T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Cameroon","1840367113","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"a344ee9f-f1b7-4761-be2c-58ee6d741395",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000019033143",NA,NA,"4c5fccfd-c052-42ec-97ab-a4657ec27751","MeiseBG","http://biocol.org/urn:lsid:biocol.org:col:15605","3b896e03-901d-4cc7-ac2b-61e0469521b0",FALSE,"CM","NE",1840367113,"Plantae",6,NA,"2022-05-10T13:53:29.341+00:00","2022-09-09T02:37:31.909+00:00","2022-09-09T02:37:31.909+00:00",10.616667,"http://creativecommons.org/licenses/by/4.0/legalcode","Mogofé, Gomtemale Mt",NA,"Country: Cameroun",13.233333,NA,"2017-12-31T00:00:00.000+00:00",10,NA,NA,NA,"ICBN",NA,"http://www.botanicalcollections.be/specimen/BR0000019033143",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"HerbariumSheet",NA,NA,"DWC_ARCHIVE","BE","a344ee9f-f1b7-4761-be2c-58ee6d741395","Leeuwenberg A.J.M. & Van Beek W.E.A.","10495","http://www.botanicalcollections.be/specimen/BR0000019033143","Meise Botanic Garden",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,1972,2022-10-23
"60",NA,"Alectra vogelii Benth.",3724340,"North Region",NA,NA,"PRESERVED_SPECIMEN",NA,"WAG.1355412","Magnoliopsida",220,"Mogodé, near Gomtemale mountains., North Region, Cameroon, AFRICA","Botany",NA,NA,"AFRICA",NA,"Cameroon",245,NA,"15f819bd-6612-4447-854b-14d12ee1022d",NA,NA,9,NA,NA,NA,NA,"1972-10-09T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Cameroon","2517763244","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,"Savanna.","Plantae|Magnoliopsidae|Lamiales|Scrophulariaceae",NA,"396d5f30-dea9-11db-8ab4-b8a03c50a862",NA,NA,NA,NA,NA,"Hepper FN","WAG.1355412@BRAHMS",NA,NA,"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf",NA,"Naturalis Biodiversity Center",NA,FALSE,"CM","NE",2517763244,"Plantae",6,NA,"2022-08-23T07:18:18.881+00:00","2022-09-08T17:35:32.327+00:00","2022-09-08T17:35:32.327+00:00",10.616667,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Mogodé, near Gomtemale mountains.",NA,NA,13.566667,NA,NA,10,NA,NA,NA,"ICN",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1355412",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NL","396d5f30-dea9-11db-8ab4-b8a03c50a862","Leeuwenberg AJM; Beek WEA van","Leeuwenberg, AJM; Beek, WEA van  10495 ",NA,"Naturalis Biodiversity Center",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"1000 m",NA,NA,NA,1972,2022-10-23
"61",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"G-G-73573/1","Magnoliopsida",220,"Burundi - Burundi - Territoire Bujumbura, Burundi","Geneva Herbarium – General Collection (G)",NA,NA,NA,NA,"Burundi",163,NA,"f577c9f3-ae71-4278-b6bf-512ba1dfaa21",NA,NA,1,NA,NA,900,NA,"1971-04-01T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Burundi","1144593734","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"43a26bbf-466a-4335-96cc-01d0656c614a",NA,NA,NA,NA,NA,"Morawetz, J. J. (2007)",NA,NA,NA,"6040a0d6-f762-11e1-a439-00145eb45e9a","G",NA,"d200fcbc-972e-4488-bcb6-eaa47209148d",FALSE,"BI","NE",1144593734,"Plantae",6,NA,"2022-04-22T06:35:42.458+00:00","2022-09-09T04:01:07.417+00:00","2022-09-09T04:01:07.417+00:00",-3.35617,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Burundi - Burundi - Territoire Bujumbura",NA,NA,29.88715,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"BIOCASE","CH","43a26bbf-466a-4335-96cc-01d0656c614a","Lewalle, J. (Coll. G)",NA,NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1971,2022-10-23
"62",NA,"Alectra vogelii Benth.",3724340,"Katanga (Shaba)",NA,NA,"PRESERVED_SPECIMEN",NA,"WAG.1355408","Magnoliopsida",220,"Kawene, près de Pweto, bord du Lac Moero., Katanga (Shaba), Democratic Republic of the Congo, AFRICA","Botany",NA,NA,"AFRICA",NA,"Democratic Republic of the Congo",245,NA,"15f819bd-6612-4447-854b-14d12ee1022d",NA,"1983-09-23T00:00:00",18,NA,NA,NA,NA,"1971-05-18T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Congo, Democratic Republic of the","2517397743","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,"Végétation sur sable.","Plantae|Magnoliopsidae|Lamiales|Scrophulariaceae",NA,"396d5f30-dea9-11db-8ab4-b8a03c50a862",NA,NA,NA,NA,NA,"Mielcarek R","WAG.1355408@BRAHMS",NA,NA,"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf",NA,"Naturalis Biodiversity Center",NA,FALSE,"CD","NE",2517397743,"Plantae",6,NA,"2022-08-23T07:18:18.881+00:00","2022-09-08T17:35:41.094+00:00","2022-09-08T17:35:41.094+00:00",-8.466667,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Kawene, près de Pweto, bord du Lac Moero.",NA,NA,28.9,NA,NA,5,NA,NA,NA,"ICN",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1355408",NA,"PRESENT","Lamiales",408,NA,"WAG0336324",NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NL","396d5f30-dea9-11db-8ab4-b8a03c50a862","Lisowski S","Lisowski, S B 10789 ",NA,"Naturalis Biodiversity Center",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"900 m",NA,NA,NA,1971,2022-10-23
"63",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"PRE0166782-0","Magnoliopsida",220,"UNIVERSITY OF THE NO; CAMPUS UNIVERSITY OF THE NORTH, South Africa",NA,NA,NA,NA,NA,"South Africa",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,9,NA,NA,NA,NA,"1969-05-09T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"South Africa","3708649954","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142891",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"ZA","NE",3708649954,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:29.247+00:00","2022-09-09T03:13:29.247+00:00",-23.875,"http://creativecommons.org/licenses/by/4.0/legalcode","UNIVERSITY OF THE NO; CAMPUS UNIVERSITY OF THE NORTH",NA,NA,29.875,NA,NA,5,NA,NA,NA,NA,NA,"453142891",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","van Vuuren, DRJ","1804",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1969,2022-10-23
"64",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"PRE0656875-0","Magnoliopsida",220,"RUST DE WINTER, South Africa",NA,NA,NA,NA,NA,"South Africa",174,NA,"d0963cee-1a29-47a2-b9bf-fb0e7690077c",NA,NA,NA,NA,NA,NA,NA,"1968-09-01T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"South Africa","3707995991","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"c5f7ef70-e233-11d9-a4d6-b8a03c50a862",NA,NA,NA,NA,NA,NA,"453142907",NA,NA,"5a18cf7d-c259-47a4-a3ab-5c3a4024bd2e",NA,NA,NA,FALSE,"ZA","NE",3707995991,"Plantae",6,NA,"2022-06-30T14:10:36.240+00:00","2022-09-09T03:13:07.091+00:00","2022-09-09T03:13:07.091+00:00",-25.125,"http://creativecommons.org/licenses/by/4.0/legalcode","RUST DE WINTER",NA,NA,28.625,NA,NA,9,NA,NA,NA,NA,NA,"453142907",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","ZA","c5f7ef70-e233-11d9-a4d6-b8a03c50a862","Tolken, HR","PRE 30842",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1968,2022-10-23
"66",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"BR0000019033112","Magnoliopsida",220,"Bobo-Dioulasso. In cultivated savanna, Burkina Faso","BR",NA,"6416a67f-3c3e-495c-8998-568f64249178",NA,NA,"Burkina Faso",203,NA,"b740eaa0-0679-41dc-acb7-990d562dfa37","Meise Botanic Garden Herbarium",NA,7,NA,NA,NA,NA,"1967-10-07T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Burkina Faso","1840367078","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,NA,NA,"a344ee9f-f1b7-4761-be2c-58ee6d741395",NA,NA,NA,NA,NA,NA,"http://www.botanicalcollections.be/specimen/BR0000019033112",NA,NA,"4c5fccfd-c052-42ec-97ab-a4657ec27751","MeiseBG","http://biocol.org/urn:lsid:biocol.org:col:15605","3b896e03-901d-4cc7-ac2b-61e0469521b0",TRUE,"BF","NE",1840367078,"Plantae",6,NA,"2022-05-10T13:53:29.341+00:00","2022-09-09T02:37:03.993+00:00","2022-09-09T02:37:03.993+00:00",11.183333,"http://creativecommons.org/licenses/by/4.0/legalcode","Bobo-Dioulasso. In cultivated savanna",NA,"Country: Upper Volta",-4.3,NA,"2017-12-31T00:00:00.000+00:00",10,NA,NA,NA,"ICBN",NA,"http://www.botanicalcollections.be/specimen/BR0000019033112",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,"HerbariumSheet",NA,NA,"DWC_ARCHIVE","BE","a344ee9f-f1b7-4761-be2c-58ee6d741395","Geerling C. & Bokdam J.","1177","http://www.botanicalcollections.be/specimen/BR0000019033112","Meise Botanic Garden",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,"PhysicalObject",NA,NA,NA,NA,NA,NA,NA,1967,2022-10-23
"67","Alectra vogelii Benth.","Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"81683","Magnoliopsida",220,"Bobo-Dioulasso, Burkina Faso, AFRICA",NA,NA,NA,"AFRICA",NA,"Burkina Faso",168,NA,"0e89ef93-34c2-4942-97f6-9d995edb1f8f",NA,NA,7,NA,NA,NA,NA,"1967-10-07T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Burkina Faso","1990432350","Alectra","Alectra",3172194,"WGS84","Geerling C. | Bokdam J.","07/10/1967",NA,"Google Maps 2019","verified by data custodian","In cultivated savanna",NA,NA,"3dc9105b-6792-4d2f-8872-c60dded8ae20",NA,NA,NA,NA,NA,"Amshoff G.J.H.","FHI0081683",1,NA,"9a0789af-e49d-41c2-8f8a-ca77da95d820","Forest Herbarium Ibadan (FHI)",NA,NA,TRUE,"BF","NE",1990432350,"Plantae",6,NA,"2022-07-09T09:54:42.198+00:00","2022-09-08T11:46:03.184+00:00","2022-09-08T11:46:03.184+00:00",11.183333,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Bobo-Dioulasso",NA,NA,-4.3,NA,NA,10,NA,NA,NA,NA,NA,"FHI0081683",NA,"PRESENT","Lamiales",408,"individuals",NA,NA,"Tracheophyta",7707728,NA,"BID","BID-AF2017-0210-NAC","DWC_ARCHIVE","NG","3dc9105b-6792-4d2f-8872-c60dded8ae20","Geerling C.|Bokdam J.","1177",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"07/10/1967",NA,NA,1967,2022-10-23
"68",NA,"Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"WAG.1355420","Magnoliopsida",220,"Bobo-Dioulasso., Burkina Faso, AFRICA","Botany",NA,NA,"AFRICA",NA,"Burkina Faso",245,NA,"15f819bd-6612-4447-854b-14d12ee1022d",NA,NA,7,NA,NA,NA,NA,"1967-10-07T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Burkina Faso","2515789631","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,NA,"Plantae|Magnoliopsidae|Lamiales|Scrophulariaceae",NA,"396d5f30-dea9-11db-8ab4-b8a03c50a862",NA,NA,NA,NA,NA,NA,"WAG.1355420@BRAHMS",NA,NA,"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf",NA,"Naturalis Biodiversity Center",NA,TRUE,"BF","NE",2515789631,"Plantae",6,NA,"2022-08-23T07:18:18.881+00:00","2022-09-08T17:35:02.222+00:00","2022-09-08T17:35:02.222+00:00",11.183333,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","Bobo-Dioulasso.",NA,NA,-4.3,NA,NA,10,NA,NA,NA,"ICN",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1355420",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NL","396d5f30-dea9-11db-8ab4-b8a03c50a862","Geerling C; Bokdam J","Geerling, C; Bokdam, J  1177 ",NA,"Naturalis Biodiversity Center",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,NA,NA,NA,1967,2022-10-23
"71",NA,"Alectra vogelii Benth.",3724340,"North Region",NA,NA,"PRESERVED_SPECIMEN",NA,"WAG.1355419","Magnoliopsida",220,"c. 10 km NE. of Mokolo., North Region, Cameroon, AFRICA","Botany",NA,NA,"AFRICA",NA,"Cameroon",245,NA,"15f819bd-6612-4447-854b-14d12ee1022d",NA,NA,16,NA,NA,NA,NA,"1964-09-16T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Cameroon","2515727209","Alectra","Alectra",3172194,"WGS84",NA,NA,NA,NA,NA,"Neglected field.","Plantae|Magnoliopsidae|Lamiales|Scrophulariaceae",NA,"396d5f30-dea9-11db-8ab4-b8a03c50a862",NA,NA,NA,NA,NA,"Amshoff GJH","WAG.1355419@BRAHMS",NA,NA,"65eb93af-41b8-4917-a5fc-cfe2a45aa4bf",NA,"Naturalis Biodiversity Center",NA,FALSE,"CM","NE",2515727209,"Plantae",6,NA,"2022-08-23T07:18:18.881+00:00","2022-09-08T17:35:42.190+00:00","2022-09-08T17:35:42.190+00:00",10.816667,"http://creativecommons.org/publicdomain/zero/1.0/legalcode","c. 10 km NE. of Mokolo.",NA,NA,13.866667,NA,NA,9,NA,NA,NA,"ICN",NA,"https://data.biodiversitydata.nl/naturalis/specimen/WAG.1355419",NA,"PRESENT","Lamiales",408,NA,NA,NA,"Tracheophyta",7707728,NA,NA,NA,"DWC_ARCHIVE","NL","396d5f30-dea9-11db-8ab4-b8a03c50a862","Wilde WJJO de; Wilde-Duyfjes BEE de","Wilde, WJJO de; Wilde-Duyfjes, BEE de  3315 ",NA,"Naturalis Biodiversity Center",NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,"800 m",NA,NA,NA,1964,2022-10-23
"73","Alectra vogelii Benth.","Alectra vogelii Benth.",3724340,NA,NA,NA,"PRESERVED_SPECIMEN",NA,"42762","Magnoliopsida",220,"Samaru R.R.S., Nigeria, AFRICA",NA,NA,NA,"AFRICA",NA,"Nigeria",168,NA,"0e89ef93-34c2-4942-97f6-9d995edb1f8f",NA,"1958-10-29T00:00:00",10,NA,NA,671,NA,"1958-09-10T00:00:00",NA,NA,"Orobanchaceae",6651,NA,NA,NA,"Nigeria","2013041732","Alectra","Alectra",3172194,"WGS84","Chukwuma E.C.","14/04/2019",NA,"Google Maps 2019","verified by data custodian",NA,NA,NA,"3dc9105b-6792-4d2f-8872-c60dded8ae20",NA,NA,NA,NA,NA,"Onochie C.F.A.","FHI0042762",1,NA,"9a0789af-e49d-41c2-8f8a-ca77da95d820","Forest Herbarium Ibadan (FHI)",NA,NA,FALSE,"NG","NE",2013041732,"Plantae",6,NA,"2022-07-09T09:54:42.198+00:00","2022-09-08T11:46:04.960+00:00","2022-09-08T11:46:04.960+00:00",11.166667,"http://creativecommons.org/licenses/by-nc/4.0/legalcode","Samaru R.R.S.",NA,NA,7.633333,NA,NA,9,NA,NA,NA,NA,NA,"FHI0042762",NA,"PRESENT","Lamiales",408,"individuals",NA,NA,"Tracheophyta",7707728,NA,"BID","BID-AF2017-0210-NAC","DWC_ARCHIVE","NG","3dc9105b-6792-4d2f-8872-c60dded8ae20","Philcox D.","DP 125",NA,NA,NA,"Alectra vogelii Benth.","Alectra vogelii",3724340,"vogelii",NA,NA,3724340,"ACCEPTED","SPECIES",NA,NA,NA,NA,NA,NA,"10/09/1958",NA,NA,1958,2022-10-23
