"lon","lat"
-58.038086,-32.52888
-51.18639,-28.059444
-58.27919,-34.64617
-51.186668,-28.059444
-61.444823,-34.18072
-58.387974,-34.603502
-58.514587,-34.538609
-49.301096,-25.432628
-55.300407,-34.837988
-51.343334,-27.919167
-54.565608,-25.549303
-54.565608,-25.549314
-53.918926,-26.545306
-60.749065,-33.017605
-53.671944,-28.715278
-60.240816,-34.275566
-49.322084,-28.697491
-57.840431,-34.448802
-61.613868,-31.213496
-67.868632,-9.95286
-57.840223,-34.448874
-57.921344,-31.290294
-61.156784,-32.855532
-58.038044,-32.527492
-52.337588,-31.765399
-60.925166,-31.453788
-58.295387,-34.600906
-58.55697,-34.544838
-58.371086,-34.713272
-60.949554,-34.588324
-47.938555,-19.751133
-48.280396,-21.230774
-58.426118,-34.599234
-60.794168,-33.441655
-58.462048,-34.563107
-63.014842,-35.03264
-58.448128,-34.576905
-64.188964,-31.398137
-60.760759,-31.661614
-48.362238,-21.227269
-58.417603,-34.619427
-63.018017,-35.034011
-65.231389,-26.813611
-60.749167,-33.017644
-66.274427,-17.382946
-60.760809,-31.661658
-49.249746,-25.512815
-62.72276,-31.868877
-50.262032,-29.892234
-47.885029,-15.717441
-49.575486,-25.478935
-54.576672,-25.611631
-79.218793,-4.032302
-66.328193,-17.388958
-65.333616,-26.825065
-57.949773,-34.848766
-79.217697,-4.032353
-58.513504,-33.010292
-66.128383,-17.451896
-65.205979,-19.057885
-44.47716,-20.386121
-42.411197,-18.196212
-58.698469,-34.486978
-65.301353,-26.811988
-54.484008,-25.613853
-58.805791,-27.474681
-66.161567,-17.34209
-58.442317,-34.679128
-48.955027,-16.972556
-58.387471,-34.6359
-58.521013,-34.67138
-68.796272,-33.072874
-60.719737,-31.640212
-60.725253,-33.148887
-60.748972,-33.017466
-60.755245,-31.656385
-49.247561,-25.437556
-44.002266,-19.959897
-60.74931,-33.017417
-49.356816,-16.730228
-50.262222,-29.895556
-64.188954,-31.398137
-58.637308,-34.633883
-49.289725,-25.417088
-47.852589,-15.671057
-47.895618,-15.745549
-51.083025,-23.249129
-58.574592,-34.422712
-47.852597,-15.671068
-60.749167,-33.017655
-48.059114,-15.815099
-54.853611,-22.203889
-58.464885,-34.549212
-47.852593,-15.671063
-49.389425,-20.84118
-60.70164,-32.949861
-43.947497,-19.969756
-58.866693,-27.443886
-58.496671,-34.473965
-40.64531,-20.081906
-64.036942,-16.767478
-47.852609,-15.671008
-48.055049,-16.002417
-47.861753,-15.738248
-63.251111,-32.422222
-49.585337,-27.999829
-58.439565,-34.573511
-58.5217,-34.62046
-57.947961,-34.908613
-51.18668,-28.059689
-58.512397,-34.596722
-47.858891,-15.729445
-58.405582,-34.600685
-47.868145,-15.764317
-57.910904,-34.891903
-60.296909,-31.720455
-58.527444,-34.577548
-58.419771,-34.562935
-58.418324,-34.562794
-58.418845,-34.562838
-58.512767,-34.596522
-51.19615,-28.054488
-51.195901,-28.054453
-50.332015,-27.807308
-58.417178,-34.582788
-60.673072,-33.179805
-51.19611,-28.054722
-51.19611,-28.055
-50.953888,-28.455555
-51.195835,-28.054722
-50.855278,-29.430277
-51.186668,-28.059999
-51.195835,-28.054445
-51.195835,-28.054167
-51.193611,-28.055277
-51.194721,-28.054167
-51.196388,-28.054722
-60.191836,-34.336951
-44.493009,-20.394373
-51.342777,-27.919445
-50.971861,-25.207306
-58.389423,-34.617868
-49.275955,-25.435784
-50.971593,-25.207034
-49.545813,-23.428624
-51.18639,-28.059723
-51.343334,-27.918888
-65.300517,-24.186802
-46.670616,-23.555067
-58.058328,-34.848389
-49.322075,-28.697479
-60.757546,-31.655809
-49.589468,-28.007117
-51.255913,-29.06011
-42.878579,-20.754866
-74.91736,10.87143
-54.96236,-22.168669
-48.497101,-27.684468
-47.872612,-15.839908
-47.858737,-15.729433
-58.771008,-38.585787
-47.859659,-15.729922
-47.858873,-15.729382
-60.633195,-32.952489
-58.530236,-33.001065
-59.337282,-19.607112
-54.039711,-25.674786
-49.254348,-16.621741
-51.186561,-28.059604
-41.138383,-10.143028
-46.698538,-23.6245
-58.547016,-34.49709
-58.536791,-34.53003
-57.97705,-32.36726
-51.186568,-28.059694
-64.266751,-31.360722
-58.449774,-34.572612
-58.350942,-34.613623
-60.765585,-31.668792
-46.695451,-22.217839
-42.100246,-22.455254
-47.45256,-23.50153
-58.688091,-34.371729
-57.955952,-34.842883
-43.691412,-20.523639
-58.495492,-34.46968
-58.49417,-34.469514
-44.225378,-20.119632
-58.916287,-34.412999
-58.2084,-30.8688
-48.665074,-26.989525
-58.95,-34.1667
-48.793182,-28.461367
-55.5954,-27.281
-76.7784,2.5726
-57.5333,-19.45
-67.148009,10.448022
-71.91122,8.26913
-68.32674,10.21298
-67.29035,10.40889
-67.210853,10.424144
-67.491592,10.340704
-71.44417,8.71315
-71.3628,8.64345
-67.31667,10.39503
-69.58481,9.78769
-69.28007,9.95114
-67.68452,10.34926
-71.7,8.61667
-71.98337,8.13219
-61.43135,6.1481
-63.49889,10.17444
-67.16763,10.44604
-65.55,3.16667
-64.129517,4.42977
-49.92146,-22.43902
-51.2,-30.03333
-64.7,-3.36667
-55.51729,-1.90486
-67.80401,10.47245
-67.42929,8.92416
-52.3376,-31.7654
-67.07141,10.46108
-69.65318,9.75145
-53.71667,-27.13333
-66.87919,10.48801
-66.91018,10.46747
-66.1667,-17.3833
-65.2857,-26.9468
-55.9009,-27.3621
-56.1645,-34.9011
-59.6092,-28.4882
-56.2294,-34.8044
-42.9281,-22.3698
-79.5347,-2.3335
-52.3269,4.9227
-63.6167,-38.4161
-43.1971,-22.9083
-61.6289,12.2125
-41.7007,-12.5797
-46.6333,-23.5505
-57.9543,-34.9213
-75.0152,-9.19
129.3391,-27.0651
-102.5528,23.6345
-51.9253,-14.235
-63.5887,-16.2902
-68.844,-32.8902
-77.126,-12.0508
-68.15,-16.5
-66.5897,6.4238
-78.1834,-1.8312
-74.2973,4.5709
-66.9167,10.5
